JobCode,Job_Function,Band,Level,Band_Level,SalaryOrgCount,SalaryIncCount,Salary25th,SalaryAvg,Salary50th,Salary75th,Salary_PerfIncentiveOrgCount,Salary_PerfIncentiveIncCount,Salary_PerfIncentive25th,Salary_PerfIncentiveAvg,Salary_PerfIncentive50th,Salary_PerfIncentive75th,PerfIncentive_PctofSalary_OrgCount,PerfIncentive_PctofSalary_IncumbentCount,PerfIncentive_PctOfSalary25th,PerfIncentive_PctOfSalaryAvg,PerfIncentive_PctOfSalary50th,PerfIncentive_PctOfSalary75th,,,,
AAA-A1,AAA,A,1,A1,7,99,26753.12,34589.52,34558.39,31590.50,,,,,,,,,,,,,,,,
AAA-A2,AAA,A,2,A2,7,58,36772.51,37191.08,37897.71,40736.31,,,,,,,,,,,,,,,,
AAA-A3,AAA,A,3,A3,7,100,35031.36,45452.69,44729.99,48561.35,,,,,,,,,,,,,,,,
AAA-A4,AAA,A,4,A4,6,80,46096.57,54610.77,53272.80,56227.86,,,,,,,,,,,,,,,,
AAA-A5,AAA,A,5,A5,5,65,56090.94,65455.10,64087.09,68343.06,,,,,,,,,,,,,,,,
AAA-L1,AAA,L,1,L1,6,68,67657.81,78323.33,77688.91,88940.57,5,49,71441.98,83756.23,81419.44,97927.61,5,49,5.73590%,7.25050%,7.29686%,10.12892%,,,,
AAA-L2,AAA,L,2,L2,7,71,88689.53,95475.19,94635.01,120006.90,6,58,95060.89,103723.28,102872.75,134595.53,6,58,6.96532%,8.37274%,8.32332%,11.31828%,,,,
AAA-L3,AAA,L,3,L3,8,85,104462.57,113742.63,110262.11,137603.40,7,65,113888.57,126483.71,122372.99,160215.24,7,65,8.98854%,11.27124%,12.20812%,15.97476%,,,,
AAA-L4,AAA,L,4,L4,7,68,132719.94,144093.99,140765.41,165425.15,7,63,151829.19,168952.64,172534.44,197216.88,7,63,14.23448%,16.94000%,17.96000%,19.06000%,,,,
AAA-L5,AAA,L,5,L5,,,153196.38,179235.10,,202942.91,,,,,,,,,,,,,,,,
AAA-O1,AAA,O,1,O1,7,95,20648.06,26887.18,27153.36,26472.71,,,,,,,,,,,,,,,,
AAA-O2,AAA,O,2,O2,7,56,26453.20,29050.50,29236.43,30031.23,,,,,,,,,,,,,,,,
AAA-O3,AAA,O,3,O3,7,93,26658.15,35086.90,35371.11,35648.23,,,,,,,,,,,,,,,,
AAA-O4,AAA,O,4,O4,6,73,33251.92,39273.75,38064.12,41881.04,,,,,,,,,,,,,,,,
AAA-O5,AAA,O,5,O5,,,,,,,,,,,,,,,,,,,,,,
AAA-P1,AAA,P,1,P1,7,70,42962.36,49699.33,49803.70,56158.31,,,,,,,,,,,,,,,,
AAA-P2,AAA,P,2,P2,7,83,56094.01,62549.58,62155.51,79099.18,,,,,,,,,,,,,,,,
AAA-P3,AAA,P,3,P3,8,101,63619.71,77218.54,76060.27,92389.58,6,61,66806.87,81572.86,80651.09,100351.92,6,61,5.39780%,6.15270%,6.22590%,8.66240%,,,,
